problem,,1,1,1,1,2,2,2,2
,search_algorithm,actions,expansions,time_s,path_length,actions,expansions,time_s,path_length
index,,,,,,,,,
1,breadth_first_search,20,43,0.021,6,72,3343,0.383,9
2,depth_first_graph_search,20,21,0.007,20,72,624,0.551,619
3,uniform_cost_search,20,60,0.022,6,72,5154,0.628,9
4,greedy_best_first_graph_search with h_unmet_goals,20,7,0.002,6,72,17,0.013,9
5,greedy_best_first_graph_search with h_pg_levelsum,20,6,0.57,6,72,9,2.401,9
6,greedy_best_first_graph_search with h_pg_maxlevel,20,6,0.18,6,72,27,2.976,9
7,greedy_best_first_graph_search with h_pg_setlevel,20,6,0.615,6,72,27,9.611,9
8,astar_search with h_unmet_goals,20,50,0.018,6,72,2467,0.776,9
9,astar_search with h_pg_levelsum,20,28,0.388,6,72,357,49.888,9
10,astar_search with h_pg_maxlevel,20,43,0.308,6,72,2887,267.257,9
11,astar_search with h_pg_setlevel,20,42,0.776,6,72,1987,680.743,9
